uniqueid,healthid,uploadtime,recordtime,externalid,height,weight,age,gender,wear,wrist,airbag
bb7d64fdd0ff4dab88ea1e87c275f500_test_F0:FA:C7:49:69:AF,bb7d64fdd0ff4dab88ea1e87c275f500,2026-07-19 21:32:04,2026-07-19 21:32:04,test,172,65,24,男,左手佩戴,150,M
bb7d64fdd0ff4dab88ea1e87c275f500_test_64:B0:E8:4D:43:E3,bb7d64fdd0ff4dab88ea1e87c275f500,2026-07-19 18:39:38,2026-07-19 18:39:38,test,171,66,24,男,右手佩戴,150,M
6fd88d4a70aa47898a1435ebb6cf60fe_HNU21041_F0:FA:C7:49:66:B1,6fd88d4a70aa47898a1435ebb6cf60fe,2026-08-01 23:06:12,2026-08-01 23:06:12,HNU21041,171,67,23,男,左手佩戴,151,M
a65f41c8af79414aba9149fe0b965c63_HNU21043_F0:FA:C7:49:5F:98,a65f41c8af79414aba9149fe0b965c63,2026-07-30 15:06:28,2026-07-30 15:06:28,HNU21043,175,68,24,男,左手佩戴,150,M
e85e3288a5dc44699806180319363b0a_HNU21026_F0:FA:C7:49:67:DE,e85e3288a5dc44699806180319363b0a,2026-07-29 15:24:45,2026-07-29 15:24:45,HNU21026,175,80,24,男,左手佩戴,151,M
4891b4b37c68423db3cd38cd36d3b86c_HNU21042_F0:FA:C7:49:61:9D,4891b4b37c68423db3cd38cd36d3b86c,2026-07-29 13:52:36,2026-07-29 13:52:36,HNU21042,168,52,24,女,左手佩戴,150,M
96494c3bfa6342fbbaf56f208f3ac4b3_hnu21033_F0:FA:C7:49:67:CE,96494c3bfa6342fbbaf56f208f3ac4b3,2026-07-27 23:36:45,2026-07-27 23:36:45,hnu21033,170,58,23,男,左手佩戴,150,M
ac7f3ee48d344a5e91337f94ff1120a7_HNU21036_F0:FA:C7:49:66:F7,ac7f3ee48d344a5e91337f94ff1120a7,2026-07-27 12:40:14,2026-07-27 12:40:14,HNU21036,166,49,23,女,左手佩戴,144,M
6464b6cb7d644feb887dface33e3d931_HNU21040_F0:FA:C7:49:66:C7,6464b6cb7d644feb887dface33e3d931,2026-07-27 10:25:57,2026-07-27 10:25:57,HNU21040,173,60,24,男,右手佩戴,150,M
6464b6cb7d644feb887dface33e3d931_6C7_F0:FA:C7:49:66:C7,6464b6cb7d644feb887dface33e3d931,2026-07-26 10:12:07,2026-07-26 10:12:07,6C7,173,60,24,男,左手佩戴,150,M
