uniqueid,healthid,groupid,externalid,sensorData,timeStamp.startTime,timeStamp.endTime
F0:FA:C7:49:6A:C3_1784722205_19,0b2abbd439fc46fc992477362f6b9a75,0b2abbd439fc46fc992477362f6b9a751784732355145,HNU21005,kitattachments/20260722/SensorOriginalData/sensorData-1784732355650-8796c4f44baf47448f839768c3f97bd8.zip,1784722205000,1784722620000
F0:FA:C7:49:6A:C3_1784717838_18,0b2abbd439fc46fc992477362f6b9a75,0b2abbd439fc46fc992477362f6b9a751784732715529,HNU21005,kitattachments/20260722/SensorOriginalData/sensorData-1784732716339-943601ac89d84ca8854497305cbb285f.zip,1784717838000,1784722204000
F0:FA:C7:49:6A:C3_1784713200_17,0b2abbd439fc46fc992477362f6b9a75,0b2abbd439fc46fc992477362f6b9a751784732990487,HNU21005,kitattachments/20260722/SensorOriginalData/sensorData-1784732991403-0c69d9f379724d569503b7ecb4c704bd.zip,1784713200000,1784717837000
F0:FA:C7:49:6A:C3_1784708834_16,0b2abbd439fc46fc992477362f6b9a75,0b2abbd439fc46fc992477362f6b9a751784733260467,HNU21005,kitattachments/20260722/SensorOriginalData/sensorData-1784733261342-21187fa595b84a6089262be83bc09cf4.zip,1784708834000,1784713200000
F0:FA:C7:49:6A:C3_1784704469_15,0b2abbd439fc46fc992477362f6b9a75,0b2abbd439fc46fc992477362f6b9a751784733535471,HNU21005,kitattachments/20260722/SensorOriginalData/sensorData-1784733536760-cea23368157a477b88c55fae0586df1e.zip,1784704469000,1784708834000
F0:FA:C7:49:6A:C3_1784700103_14,0b2abbd439fc46fc992477362f6b9a75,0b2abbd439fc46fc992477362f6b9a751784733803889,HNU21005,kitattachments/20260722/SensorOriginalData/sensorData-1784733804670-77a4821ef603438d86b8c3be5a296f0c.zip,1784700103000,1784704469000
F0:FA:C7:49:6A:C3_1784695587_13,0b2abbd439fc46fc992477362f6b9a75,null1784734072901,HNU21005,kitattachments/20260722/SensorOriginalData/sensorData-1784734073566-2e48cff9450a48cb89c3906b24ace89d.zip,1784695587000,1784700103000
F0:FA:C7:49:6A:C3_1784691221_12,0b2abbd439fc46fc992477362f6b9a75,0b2abbd439fc46fc992477362f6b9a751784734329007,HNU21005,kitattachments/20260722/SensorOriginalData/sensorData-1784734329487-6298b943eea34dffa0ce96aa09a32943.zip,1784691221000,1784695587000
F0:FA:C7:49:6A:C3_1784686463_11,0b2abbd439fc46fc992477362f6b9a75,0b2abbd439fc46fc992477362f6b9a751784734899377,HNU21005,kitattachments/20260722/SensorOriginalData/sensorData-1784734900060-10909d0c50c243e4b7706abaaf7a5484.zip,1784686463000,1784691221000
F0:FA:C7:49:6A:C3_1784633955_10,0b2abbd439fc46fc992477362f6b9a75,0b2abbd439fc46fc992477362f6b9a751784735160791,HNU21005,kitattachments/20260722/SensorOriginalData/sensorData-1784735162886-adf73219fb6c46c6bb487b2628725a19.zip,1784633955000,1784686462000
